author,antibiotic_category,year,num_resistant,num_total,troy_pooled_prev,logit_event_rate,std_err,variance,inverse_N,major_source,tri_source,natl_income,tri_income,country,antibioic_abb,antibiotic,sub_clinical,sub_WW2,sub_WW3,sub_seafood,sub_aquaculture,sub_DW,sub_SW,sub_agr,agr_farm,A_Wa2000,A_Wa2015,A_Wa_ratio,DID2000,EPI,HLT,AIR,H2O,HMT,WMG,BDH,ECS,FSH,CCH,APE,WRS,WWT
Ghenghesh et al. 2013,3rd gen,2013,0,18,0.0263,-3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Libya,3rd CEF,Ceftriaxone,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,,,,,,,,,,,,,,,,,
Ghenghesh et al. 2013,Ciprofloxacin,2013,0,18,0.0263,-3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Libya,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,,,,,,,,,,,,,,,,,
Ghenghesh et al. 2013,Gentamicin,2013,0,18,0.0263,-3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Libya,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,,,,,,,,,,,,,,,,,
Ghenghesh et al. 2013,SXT,2013,0,18,0.0263,-3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Libya,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,,,,,,,,,,,,,,,,,
Ghenghesh et al. 2013,tetracycline,2013,6,18,0.3333,-0.693147181,0.5,0.25,0.055555556,Agriculture,Agriculture,3,50-75,Libya,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,,,,,,,,,,,,,,,,,
Soltan Dallal et al. 2012,Chloramphenicol,2012,5,105,0.0476,-2.995732274,0.458257569,0.21,0.00952381,Agriculture,Agriculture,3,50-75,Iran,CHL,Chloramphenicol,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,,,,,48,48.3,49.2,53.6,27.4,19,38.4,88.8,13.8,55,80.8,3.7,3.7
Soltan Dallal et al. 2012,Gentamicin,2012,2,105,0.019,-3.941581808,0.713938889,0.509708738,0.00952381,Agriculture,Agriculture,3,50-75,Iran,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,,,,,48,48.3,49.2,53.6,27.4,19,38.4,88.8,13.8,55,80.8,3.7,3.7
Soltan Dallal et al. 2012,SXT,2012,15,105,0.1429,-1.791759469,0.278886676,7.78E-02,0.00952381,Agriculture,Agriculture,3,50-75,Iran,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,,,,,48,48.3,49.2,53.6,27.4,19,38.4,88.8,13.8,55,80.8,3.7,3.7
Soltan Dallal et al. 2012,tetracycline,2012,72,105,0.6857,0.780158558,0.210218741,4.42E-02,0.00952381,Agriculture,Agriculture,3,50-75,Iran,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,,,,,48,48.3,49.2,53.6,27.4,19,38.4,88.8,13.8,55,80.8,3.7,3.7
El-Sharef et al. 2005,Ciprofloxacin,2005,30,30,0.9839,4.110873864,1.425758354,2.032786885,0.033333333,Agriculture,Agriculture,3,50-75,Libya,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Mixed,,,,,,,,,,,,,,,,,
