File,BioProject,BioSample,Country,Location,SampleSource,SampleType,SeafoodType
MAR002,PRJNA491504,SAMN10097259,USA,Marinette,Yellow perch (Perca flavescens),Tank,Aquaculture
MAR003,PRJNA491504,SAMN10097260,USA,Marinette,Yellow perch (Perca flavescens),Tank,Aquaculture
MAR004,PRJNA491504,SAMN10097261,USA,Marinette,Yellow perch (Perca flavescens),Filter,Aquaculture
MAR005,PRJNA491504,SAMN10097262,USA,Marinette,Yellow perch (Perca flavescens),Filter,Aquaculture
MAR006,PRJNA491504,SAMN10097263,USA,Marinette,Yellow perch (Perca flavescens),Filter,Aquaculture
MAR007,PRJNA491504,SAMN10097264,USA,Marinette,Yellow perch (Perca flavescens),Tank,Aquaculture
MAR008,PRJNA491504,SAMN10097265,USA,Marinette,Yellow perch (Perca flavescens),Tank,Aquaculture
BF0001A,PRJNA491504,SAMN10097293,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0014A,PRJNA491504,SAMN10097296,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0016A,PRJNA491504,SAMN10097297,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0018A,PRJNA491504,SAMN10097298,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0020A,PRJNA491504,SAMN10097299,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0023A,PRJNA491504,SAMN10097300,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0027A,PRJNA491504,SAMN10097301,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0032A,PRJNA491504,SAMN10097302,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0084,PRJNA491504,SAMN10097303,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0085,PRJNA491504,SAMN10097304,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0086,PRJNA491504,SAMN10097305,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0097,PRJNA491504,SAMN10097306,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0098,PRJNA491504,SAMN10097307,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
BF0099,PRJNA491504,SAMN10097308,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
RA0036A,PRJNA491504,SAMN10097269,USA,Indiana,Yellow perch (Perca flavescens),Filter,Aquaculture
RA0037A,PRJNA491504,SAMN10097270,USA,Indiana,Yellow perch (Perca flavescens),Filter,Aquaculture
RA0047A,PRJNA491504,SAMN10097273,USA,Indiana,Yellow perch (Perca flavescens),Tank,Aquaculture
RA0049A,PRJNA491504,SAMN10097274,USA,Indiana,Yellow perch (Perca flavescens),Filter,Aquaculture
RA0076A,PRJNA491504,SAMN10097275,USA,Milwaukee,Yellow perch (Perca flavescens),Tank,Aquaculture
RA0110A,PRJNA491504,SAMN10097279,USA,Milwaukee,Yellow perch (Perca flavescens),Tank,Aquaculture
RA0166A,PRJNA491504,SAMN10097286,USA,Milwaukee,Yellow perch (Perca flavescens),Tank,Aquaculture
RAS1and2,PRJNA491504,SAMN10097290,USA,Milwaukee,Yellow perch (Perca flavescens),Tank,Aquaculture
RASS5and3,PRJNA491504,SAMN10097292,USA,Milwaukee,Yellow perch (Perca flavescens),Filter,Aquaculture
ERR2129705,PRJEB22688,SAMEA104307727,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129707,PRJEB22688,SAMEA104307728,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129708,PRJEB22688,SAMEA104307729,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129710,PRJEB22688,SAMEA104307730,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129711,PRJEB22688,SAMEA104307731,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129713,PRJEB22688,SAMEA104307732,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129714,PRJEB22688,SAMEA104307733,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129716,PRJEB22688,SAMEA104307734,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129717,PRJEB22688,SAMEA104307735,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129719,PRJEB22688,SAMEA104307736,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129720,PRJEB22688,SAMEA104307737,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129722,PRJEB22688,SAMEA104307738,France,CNSS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129723,PRJEB22688,SAMEA104307739,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129725,PRJEB22688,SAMEA104307740,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129726,PRJEB22688,SAMEA104307741,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129728,PRJEB22688,SAMEA104307742,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129729,PRJEB22688,SAMEA104307743,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129731,PRJEB22688,SAMEA104307744,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129732,PRJEB22688,SAMEA104307745,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129734,PRJEB22688,SAMEA104307746,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129735,PRJEB22688,SAMEA104307747,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129737,PRJEB22688,SAMEA104307748,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129738,PRJEB22688,SAMEA104307749,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129740,PRJEB22688,SAMEA104307750,France,CNSS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129741,PRJEB22688,SAMEA104307751,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129743,PRJEB22688,SAMEA104307752,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129744,PRJEB22688,SAMEA104307753,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129746,PRJEB22688,SAMEA104307754,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129747,PRJEB22688,SAMEA104307755,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129749,PRJEB22688,SAMEA104307756,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129750,PRJEB22688,SAMEA104307757,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129752,PRJEB22688,SAMEA104307758,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129753,PRJEB22688,SAMEA104307759,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129755,PRJEB22688,SAMEA104307760,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129756,PRJEB22688,SAMEA104307761,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129758,PRJEB22688,SAMEA104307762,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129759,PRJEB22688,SAMEA104307763,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129761,PRJEB22688,SAMEA104307764,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129762,PRJEB22688,SAMEA104307765,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129764,PRJEB22688,SAMEA104307766,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129765,PRJEB22688,SAMEA104307767,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129767,PRJEB22688,SAMEA104307768,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129768,PRJEB22688,SAMEA104307769,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129770,PRJEB22688,SAMEA104307770,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129771,PRJEB22688,SAMEA104307771,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129773,PRJEB22688,SAMEA104307772,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129774,PRJEB22688,SAMEA104307773,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129776,PRJEB22688,SAMEA104307774,United Kingdom,Cynrig,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129777,PRJEB22688,SAMEA104307775,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129779,PRJEB22688,SAMEA104307776,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129780,PRJEB22688,SAMEA104307777,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129782,PRJEB22688,SAMEA104307778,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129783,PRJEB22688,SAMEA104307779,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129785,PRJEB22688,SAMEA104307780,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129786,PRJEB22688,SAMEA104307781,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129788,PRJEB22688,SAMEA104307782,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129789,PRJEB22688,SAMEA104307783,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129791,PRJEB22688,SAMEA104307784,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129792,PRJEB22688,SAMEA104307785,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
