Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(altitude),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),host-associated_environmental_package,host_body_site,host_length,host_sex,host_subject_id,host_total_mass,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Sequencing_method,SRA_accession,SRA Study,Temperature,Title
ERR3458554,14Bue1011Ch01A,AMPLICON,501,7062966,PRJEB33555,SAMEA5816608,4220893,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480305,France,Europe,593,France,44.344,5.771,Buech,host-associated,skin,14.5,male,14Bue1011,22,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:42Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816608,ERS3605204,MiSeq,ERS3605204,ERP116356,23.5,microbiota
ERR3458555,14Bue1011Ch02A,AMPLICON,501,16020879,PRJEB33555,SAMEA5816609,8316380,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480306,France,Europe,593,France,44.344,5.771,Buech,host-associated,midgut,14.5,male,14Bue1011,22,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816609,ERS3605205,MiSeq,ERS3605205,ERP116356,23.5,microbiota
ERR3458556,14Bue1011Ch03A,AMPLICON,501,3261268,PRJEB33555,SAMEA5816610,2302832,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480307,France,Europe,593,France,44.344,5.771,Buech,host-associated,hindgut,14.5,male,14Bue1011,22,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816610,ERS3605206,MiSeq,ERS3605206,ERP116356,23.5,microbiota
ERR3458557,14Bue1011Ch05A,AMPLICON,501,4594797,PRJEB33555,SAMEA5816611,2715439,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480308,France,Europe,593,France,44.344,5.771,Buech,host-associated,gills,14.5,male,14Bue1011,22,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816611,ERS3605207,MiSeq,ERS3605207,ERP116356,23.5,microbiota
ERR3458558,14Bue1012Ch01A,AMPLICON,501,8885444,PRJEB33555,SAMEA5816612,5209326,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480309,France,Europe,593,France,44.345,5.772,Buech,host-associated,skin,18.5,male,14Bue1012,43,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816612,ERS3605208,MiSeq,ERS3605208,ERP116356,23.5,microbiota
ERR3458559,14Bue1012Ch02A,AMPLICON,501,10190090,PRJEB33555,SAMEA5816613,5375826,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480310,France,Europe,593,France,44.345,5.772,Buech,host-associated,midgut,18.5,male,14Bue1012,43,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816613,ERS3605209,MiSeq,ERS3605209,ERP116356,23.5,microbiota
ERR3458560,14Bue1012Ch03A,AMPLICON,501,3350563,PRJEB33555,SAMEA5816614,2251484,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480311,France,Europe,593,France,44.345,5.772,Buech,host-associated,hindgut,18.5,male,14Bue1012,43,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816614,ERS3605210,MiSeq,ERS3605210,ERP116356,23.5,microbiota
ERR3458561,14Bue1012Ch05A,AMPLICON,501,2437416,PRJEB33555,SAMEA5816615,1491599,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480312,France,Europe,593,France,44.345,5.772,Buech,host-associated,gills,18.5,male,14Bue1012,43,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816615,ERS3605211,MiSeq,ERS3605211,ERP116356,23.5,microbiota
ERR3458562,14Bue1013Ch01A,AMPLICON,501,6431909,PRJEB33555,SAMEA5816616,3855332,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480313,France,Europe,593,France,44.346,5.773,Buech,host-associated,skin,13.5,neuter,14Bue1013,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816616,ERS3605212,MiSeq,ERS3605212,ERP116356,23.5,microbiota
ERR3458563,14Bue1013Ch02A,AMPLICON,501,2085618,PRJEB33555,SAMEA5816617,1146257,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480314,France,Europe,593,France,44.346,5.773,Buech,host-associated,midgut,13.5,neuter,14Bue1013,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816617,ERS3605213,MiSeq,ERS3605213,ERP116356,23.5,microbiota
