Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,experimental_factor,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Sequencing_method,SRA_accession,SRA Study,Title,host_body_product,host_body_site,host_common_name
ERR2129705,CON-G10,AMPLICON,482,17328078,PRJEB22688,SAMEA104307727,9589751,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186928,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G10,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307727,ERS1932705,Illumina,ERS1932705,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129707,CON-G11,AMPLICON,455,40137895,PRJEB22688,SAMEA104307728,21378414,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186929,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G11,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307728,ERS1932706,Illumina,ERS1932706,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129708,CON-G12,AMPLICON,451,38651627,PRJEB22688,SAMEA104307729,19383124,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186930,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G12,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307729,ERS1932707,Illumina,ERS1932707,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129710,CON-G1,AMPLICON,451,35862310,PRJEB22688,SAMEA104307730,18456524,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186931,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G1,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307730,ERS1932708,Illumina,ERS1932708,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129711,CON-G2,AMPLICON,442,40580049,PRJEB22688,SAMEA104307731,20910092,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186932,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307731,ERS1932709,Illumina,ERS1932709,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129713,CON-G3,AMPLICON,452,29154602,PRJEB22688,SAMEA104307732,14222285,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186933,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G3,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307732,ERS1932710,Illumina,ERS1932710,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129714,CON-G4,AMPLICON,418,36116463,PRJEB22688,SAMEA104307733,17098060,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186934,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307733,ERS1932711,Illumina,ERS1932711,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129716,CON-G5,AMPLICON,475,115647,PRJEB22688,SAMEA104307734,153872,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186935,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G5,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307734,ERS1932712,Illumina,ERS1932712,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129717,CON-G6,AMPLICON,455,43373504,PRJEB22688,SAMEA104307735,23545155,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186936,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G6,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307735,ERS1932713,Illumina,ERS1932713,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129719,CON-G7,AMPLICON,437,47520719,PRJEB22688,SAMEA104307736,23242241,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186937,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-G7,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307736,ERS1932714,Illumina,ERS1932714,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
